"","hgnc_symbol","uniprot_gn_id"
"617","KIR3DL2","A0A0G2JLU7"
"618","KIR3DL2","A0A0G2JP67"
"619","KIR3DL2","A0A0G2JM59"
"620","KIR3DL2","A0A0G2JLM7"
"621","KIR3DL2","A0A0G2JN45"
"622","KIR3DL2","A0A0G2JMI1"
"623","KIR3DL2","A0A0G2JMA3"
"624","KIR3DL2","A0A0G2JMW7"
"625","PPP1R18","Q6NYC8"
"626","PPP1R18","A0A0G2JKF1"
"627","PPP1R18","A0A0G2JHC2"
"628","TNNT3","P45378"
"629","TNNT3","F8WA37"
"630","TNNT3","C9JCA5"
"631","TNNT3","H9KVA2"
"632","TNNT3","A0A286YFB1"
"633","TNNT3","C9JZN9"
"634","HLA-L",""
"635","EEF1A1P20",""
"636","TENT2","Q6PIY7"
"637","TENT2","D6RAF2"
"638","HCG18",""
"639","SDHAP2",""
"640","ADAP1","O75689"
"641","ADAP1","C9JN36"
"642","ADAP1","H7C324"
"643","ADAP1","A0A087WTN6"
"644","ADAP1","A0A3B3ISA7"
"645","MUC20","Q8N307"
"646","MUC20","A0A0G2JRI9"
"647","MUC20","C9JJE7"
"648","MUC20","A0A0G2JSE2"
"649","MUC20","A0A0G2JNX3"
"650","MUC20","A0A0G2JM47"
"651","MUC20","A0A0G2JR26"
"652","MUC20","A0A0G2JR84"
"653","MUC20","A0A0G2JSA8"
"654","MUC20","A0A0G2JRM4"
"655","MUC20","E9PH32"
"656","MUC20","A0A0G2JRT2"
"657","MUC20","A0A0G2JN31"
"658","LY6G5C","Q5SRR4"
"659","LY6G5C","F8WBQ4"
"660","UBR7","Q8N806"
"661","UBR7","G3V336"
"662","UBR7","G3V2G3"
"663","UBR7","E9PCJ7"
"664","UBR7","G3V253"
"665","MTCYBP22",""
"666","HLA-B","P01889"
"667","HLA-B","P30460"
"668","HLA-B","P30464"
"669","HLA-B","P30466"
"670","HLA-B","P30481"
"671","HLA-B","A0A1W2PQZ3"
"672","HLA-B","A0A1W2PP29"
"673","HLA-B","Q2L6G2"
"674","HLA-B","D5H3J5"
"675","HLA-B","A0A1W2PQE2"
"676","HLA-B","E5FQ95"
"677","HLA-B","Q5SS57"
"678","HLA-B","S6AU73"
"679","HLA-B","D9J307"
"680","HLA-B","A0A140TA02"
"681","HLA-B","A0A140T997"
"682","HLA-B","A0A1W2PPR8"
"683","HLA-B","A0A140T9Y5"
"684","HLA-B","F6U0H7"
"685","HLA-B","A0A140T9D4"
"686","HLA-B","A0A140T953"
"687","HLA-B","A0A140TA21"
"688","HLA-B","A0A140TA13"
"689","HLA-B","A0A1W2PNR7"
"690","HLA-B","A0A140TA14"
"691","HLA-B","A0A140TA11"
"692","MUC20-OT1",""
"693","HLA-DQB2","A2ADX3"
"694","HLA-DQB2","Q5SQ91"
"695","HLA-DQB2","A0A0G2JH31"
"696","HLA-DQB2","Q5SR05"
"697","PIGT","Q969N2"
"698","PIGT","A0A1W2PQI9"
"699","PIGT","A0A1W2PQ29"
